date,team_1,team_2,venue,toss_winner,toss_decision,winner,target
2013-01-28,Australia,Sri Lanka,Melbourne Cricket Ground,Australia,field,Sri Lanka,0
2013-02-09,New Zealand,England,Eden Park,New Zealand,field,England,0
2013-02-12,New Zealand,England,Seddon Park,England,field,New Zealand,1
2013-02-13,Australia,West Indies,"Brisbane Cricket Ground, Woolloongabba",West Indies,bat,West Indies,0
2013-02-15,New Zealand,England,Westpac Stadium,England,field,England,0
2013-03-02,West Indies,Zimbabwe,"Sir Vivian Richards Stadium, North Sound",Zimbabwe,bat,West Indies,1
2013-03-03,South Africa,Pakistan,SuperSport Park,Pakistan,bat,Pakistan,0
2013-03-03,West Indies,Zimbabwe,"Sir Vivian Richards Stadium, North Sound",West Indies,bat,West Indies,1
2013-03-15,Canada,Kenya,ICC Global Cricket Academy,Kenya,bat,Canada,1
2013-03-16,Canada,Kenya,ICC Global Cricket Academy,Kenya,bat,Kenya,0
2013-03-31,Sri Lanka,Bangladesh,Pallekele International Cricket Stadium,Bangladesh,field,Sri Lanka,1
2013-04-19,Kenya,Netherlands,Wanderers Cricket Ground,Netherlands,bat,Kenya,1
2013-04-20,Kenya,Netherlands,Wanderers Cricket Ground,Kenya,field,Kenya,1
2013-05-11,Zimbabwe,Bangladesh,Queens Sports Club,Zimbabwe,bat,Zimbabwe,1
2013-05-12,Zimbabwe,Bangladesh,Queens Sports Club,Bangladesh,bat,Bangladesh,0
2013-06-25,England,New Zealand,Kennington Oval,England,field,New Zealand,0
2013-07-27,West Indies,Pakistan,"Arnos Vale Ground, Kingstown",West Indies,bat,Pakistan,0
2013-07-28,West Indies,Pakistan,"Arnos Vale Ground, Kingstown",Pakistan,bat,Pakistan,0
2013-08-02,Sri Lanka,South Africa,R Premadasa Stadium,South Africa,bat,South Africa,0
2013-08-04,Sri Lanka,South Africa,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",South Africa,bat,South Africa,0
2013-08-06,Sri Lanka,South Africa,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",South Africa,bat,Sri Lanka,1
2013-08-23,Zimbabwe,Pakistan,Harare Sports Club,Zimbabwe,field,Pakistan,0
2013-08-24,Zimbabwe,Pakistan,Harare Sports Club,Zimbabwe,field,Pakistan,0
2013-08-29,England,Australia,The Rose Bowl,England,field,Australia,0
2013-08-31,England,Australia,Riverside Ground,Australia,field,England,1
2013-10-10,India,Australia,Saurashtra Cricket Association Stadium,India,field,India,1
